film_id,audience_rating_mean,critic_rating_mean,rating_gap,review_count,social_sentiment_score,trending_duration_days,primary_source,platform_coverage_count,peak_popularity_date
375,5.2,5.4,-0.2,1200000,0.20,60,IMDb,5,2008-11-21
376,6.0,6.2,-0.2,900000,0.35,70,IMDb,5,2009-05-22
377,5.7,5.5,0.2,700000,0.25,60,IMDb,5,2016-07-22
378,7.3,7.5,-0.2,800000,0.60,80,IMDb,5,2019-02-14
379,6.3,6.7,-0.4,1000000,0.35,70,IMDb,5,2021-11-05
380,6.1,6.2,-0.1,1000000,0.30,70,IMDb,5,2012-06-01
381,6.7,7.0,-0.3,600000,0.50,70,IMDb,5,2024-06-07
382,6.8,7.1,-0.3,900000,0.45,80,IMDb,5,2010-12-17
383,7.0,7.5,-0.5,1200000,0.55,90,IMDb,5,2006-05-05
384,5.2,5.5,-0.3,700000,0.20,60,IMDb,5,2023-08-04
385,7.7,8.0,-0.3,600000,0.65,90,IMDb,5,2024-05-10
386,6.6,6.7,-0.1,900000,0.40,70,IMDb,5,2018-07-20
387,8.6,8.9,-0.3,1600000,0.90,150,IMDb,5,2001-07-20
388,7.2,7.5,-0.3,1400000,0.80,120,IMDb,5,1978-06-16
389,6.2,6.5,-0.3,900000,0.25,70,IMDb,5,2022-10-21
390,6.5,6.9,-0.4,1000000,0.40,70,IMDb,5,2018-05-25
391,6.0,6.5,-0.5,1000000,0.35,70,IMDb,5,2006-06-28
392,8.5,8.8,-0.3,2000000,0.90,150,IMDb,5,1939-12-15
393,6.9,7.1,-0.2,1000000,0.50,80,IMDb,5,1991-06-14
394,8.2,8.5,-0.3,1500000,0.75,100,IMDb,5,2013-12-25
395,8.5,8.6,-0.1,2000000,0.90,150,IMDb,5,1985-07-03
396,6.0,6.3,-0.3,900000,0.35,70,IMDb,5,2019-05-31
397,7.9,8.0,-0.1,1200000,0.70,90,IMDb,5,2009-05-08
398,7.4,7.5,-0.1,1300000,0.70,100,IMDb,5,2002-03-15
399,6.7,6.8,-0.1,800000,0.45,70,IMDb,5,2015-03-27
400,6.5,7.0,-0.5,1000000,0.50,80,IMDb,5,2006-11-17
401,5.3,4.9,0.4,900000,0.15,60,IMDb,5,2016-06-24
402,6.6,6.9,-0.3,700000,0.40,70,IMDb,5,2023-06-30
403,8.0,8.6,-0.6,1300000,0.80,120,IMDb,5,2008-11-12
404,8.3,8.7,-0.4,900000,0.75,100,IMDb,5,2019-12-25
405,6.7,7.0,-0.3,800000,0.50,70,IMDb,5,2017-06-16
406,,,,,,,,,
407,7.0,7.4,-0.4,1000000,0.55,80,IMDb,5,2007-06-27
408,6.4,6.6,-0.2,800000,0.35,70,IMDb,5,2009-03-27
409,4.7,4.5,0.2,900000,0.10,50,IMDb,5,2017-02-10
410,8.1,8.6,-0.5,1300000,0.80,120,IMDb,5,2015-05-15
411,6.7,6.8,-0.1,900000,0.45,70,IMDb,5,2021-07-09
412,6.3,6.4,-0.1,1000000,0.35,70,IMDb,5,2012-10-05
413,7.6,8.0,-0.4,1200000,0.70,90,IMDb,5,2019-07-26
414,7.0,7.2,-0.2,900000,0.55,80,IMDb,5,2012-09-28
415,5.4,5.2,0.2,1000000,0.20,60,IMDb,5,1998-05-20
416,5.8,5.9,-0.1,900000,0.30,60,IMDb,5,2013-03-28
417,8.3,8.9,-0.6,1800000,0.85,130,IMDb,5,1995-11-22
418,6.5,6.7,-0.2,1000000,0.45,80,IMDb,5,2002-04-19
419,6.5,6.4,0.1,1100000,0.40,70,IMDb,5,2009-05-01
420,6.4,6.6,-0.2,900000,0.35,70,IMDb,5,2000-12-15
421,7.3,7.8,-0.5,800000,0.55,80,IMDb,5,2011-12-21
422,8.4,8.7,-0.3,1000000,0.85,120,IMDb,5,2018-12-14
423,6.6,6.7,-0.1,700000,0.45,70,IMDb,5,2019-09-30
424,,,,,,,,,
425,7.0,7.2,-0.2,500000,0.55,70,IMDb,5,2024-07-19
426,5.0,5.3,-0.3,800000,0.15,50,IMDb,5,2018-02-09
427,6.0,6.1,-0.1,900000,0.30,60,IMDb,5,2004-10-01
428,7.0,7.2,-0.2,1100000,0.55,80,IMDb,5,2011-07-22
429,7.1,7.4,-0.3,1100000,0.60,80,IMDb,5,1998-07-15
430,8.4,8.7,-0.3,1900000,0.85,150,IMDb,5,1981-06-12
431,6.0,6.2,-0.2,900000,0.35,60,IMDb,5,2007-12-07
432,8.1,8.4,-0.3,1300000,0.75,100,IMDb,5,2014-10-03
433,7.8,8.0,-0.2,1200000,0.70,90,IMDb,5,2014-06-06
434,6.6,6.8,-0.2,900000,0.45,70,IMDb,5,2014-11-26
435,6.6,6.8,-0.2,1000000,0.50,80,IMDb,5,2005-02-11
436,,,,,,,,,
437,7.4,7.6,-0.2,900000,0.60,80,IMDb,5,2020-08-26
438,7.5,7.8,-0.3,1200000,0.70,100,IMDb,5,1995-05-19
439,5.3,5.5,-0.2,800000,0.20,60,IMDb,5,2018-09-07
440,7.0,7.3,-0.3,900000,0.55,80,IMDb,5,2019-04-05
441,5.9,6.1,-0.2,1000000,0.35,70,IMDb,5,2001-07-18
442,6.5,6.7,-0.2,1000000,0.40,70,IMDb,5,2009-05-21
443,7.2,7.8,-0.6,1100000,0.65,90,IMDb,5,1994-07-15
444,7.3,7.6,-0.3,1200000,0.65,90,IMDb,5,1999-05-21
445,7.1,7.5,-0.4,1200000,0.60,90,IMDb,5,1998-11-25
446,6.5,6.7,-0.2,1000000,0.45,80,IMDb,5,2004-12-10
447,5.2,5.5,-0.3,900000,0.25,60,IMDb,5,2007-12-14
448,5.7,6.0,-0.3,1000000,0.35,70,IMDb,5,2001-07-27
449,5.8,6.1,-0.3,900000,0.30,60,IMDb,5,2013-05-23
450,6.4,6.5,-0.1,900000,0.45,70,IMDb,5,1999-11-19
451,6.4,6.6,-0.2,600000,0.40,70,IMDb,5,2018-02-16
452,6.6,6.8,-0.2,1000000,0.50,80,IMDb,5,2009-04-03
453,6.8,7.0,-0.2,1400000,0.60,100,IMDb,5,1992-11-20
454,7.6,8.0,-0.4,1300000,0.65,100,IMDb,5,2002-06-21
455,5.0,4.9,0.1,800000,0.20,60,IMDb,5,1994-05-27
456,6.6,6.8,-0.2,700000,0.40,70,IMDb,5,2018-02-09
457,6.9,7.5,-0.6,1700000,0.70,120,IMDb,5,1986-05-16
458,6.3,6.5,-0.2,800000,0.35,70,IMDb,5,2016-07-01
459,8.2,8.4,-0.2,1500000,0.75,120,IMDb,5,2005-06-15
460,7.2,7.8,-0.6,1300000,0.60,100,IMDb,5,1995-11-17
461,8.3,8.8,-0.5,1600000,0.80,120,IMDb,5,1999-10-01
462,6.3,6.5,-0.2,900000,0.35,70,IMDb,5,2000-05-19
463,6.9,7.1,-0.2,600000,0.50,70,IMDb,5,2020-10-01
464,8.1,8.5,-0.4,1500000,0.80,100,IMDb,5,2002-12-25
465,7.7,7.9,-0.2,1200000,0.65,90,IMDb,5,2011-06-03
466,8.4,8.7,-0.3,1100000,0.85,120,IMDb,5,2016-08-26
467,7.8,8.0,-0.2,1300000,0.65,90,IMDb,5,1993-08-06
468,6.2,6.4,-0.2,900000,0.35,70,IMDb,5,2014-12-19
469,7.2,7.6,-0.4,1100000,0.55,80,IMDb,5,2013-05-10
470,6.3,6.5,-0.2,800000,0.30,60,IMDb,5,2019-03-29
471,6.0,6.5,-0.5,900000,0.40,70,IMDb,5,2014-03-28
472,7.0,7.2,-0.2,1300000,0.55,80,IMDb,5,1992-03-20
473,6.0,6.3,-0.3,800000,0.35,60,IMDb,5,2016-05-20
474,6.9,7.3,-0.4,1500000,0.65,100,IMDb,5,1994-07-29
475,6.2,6.5,-0.3,1000000,0.45,70,IMDb,5,2010-06-11
476,6.5,6.8,-0.3,900000,0.40,70,IMDb,5,2017-11-10
477,7.7,8.2,-0.5,1300000,0.70,90,IMDb,5,1988-06-22
478,6.4,6.6,-0.2,900000,0.35,70,IMDb,5,2012-03-02
479,7.4,7.7,-0.3,500000,0.55,80,IMDb,5,2024-08-16
480,6.8,7.0,-0.2,1200000,0.45,80,IMDb,5,2001-02-09
481,6.0,6.5,-0.5,400000,0.30,60,IMDb,5,2024-08-09
482,6.2,6.5,-0.3,900000,0.35,70,IMDb,5,1998-05-08
483,4.5,4.8,-0.3,800000,0.15,50,IMDb,5,2011-12-16
484,7.1,7.6,-0.5,1100000,0.60,90,IMDb,5,2004-07-16
485,5.3,5.4,-0.1,800000,0.25,60,IMDb,5,2013-07-31
486,6.8,7.0,-0.2,1000000,0.50,80,IMDb,5,2014-09-19
487,7.1,7.3,-0.2,600000,0.55,80,IMDb,5,2023-11-17
488,6.2,6.5,-0.3,1300000,0.45,80,IMDb,5,2000-11-17
489,7.0,7.2,-0.2,1200000,0.55,90,IMDb,5,2001-08-03
490,6.7,6.9,-0.2,1100000,0.55,90,IMDb,5,1995-06-23
491,6.7,6.8,-0.1,900000,0.45,70,IMDb,5,2018-12-19
492,5.2,5.6,-0.4,900000,0.25,60,IMDb,5,2017-01-20
493,6.7,6.9,-0.2,1000000,0.45,70,IMDb,5,2006-05-19
494,6.4,6.5,-0.1,900000,0.40,70,IMDb,5,2016-10-28
495,7.2,7.5,-0.3,1000000,0.60,90,IMDb,5,2013-05-31
496,6.7,7.0,-0.3,900000,0.50,70,IMDb,5,2008-06-27
497,6.8,6.9,-0.1,700000,0.45,70,IMDb,5,2015-07-16
498,7.6,8.1,-0.5,1200000,0.75,100,IMDb,5,1977-11-16
499,7.1,7.4,-0.3,1000000,0.60,80,IMDb,5,2007-11-21
500,6.5,6.7,-0.2,1000000,0.40,70,IMDb,5,1997-12-12
